id,text,labels
w201106-0001270488-1,ハゲる条件を素に、国民的親父の磯野波平さんを分析してみました。,"[[15, 19]]"
w201106-0001270488-2,波平さんはどうしてハゲたのか。,"[[0, 2]]"
w201106-0001270488-3,波平さんのは、どこからハゲたのか。,"[[0, 2]]"
w201106-0001284480-1,内沼幸雄鑑定人による宮崎勤の精神鑑定書のなかに次のような一節がある。,"[[0, 4], [10, 13]]"
w201106-0001287225-2,左手の無いトレーシーが、カッコいいカラテの型を見せる異色のサスペンスである。,"[[5, 10]]"
w201106-0001252141-1,怒っているシーくんを、私は見たことがありません。,"[[5, 7]]"
w201106-0001252141-2,去年も同じシチュエーションでシーくんを撮りました。,"[[14, 16]]"
w201106-0001276618-1,今週の日曜メルマガは谷崎が担当です。,"[[10, 12]]"
w201106-0001213903-1,宿敵・鬼州組六代目は、凄腕の鉄人・海腐に決定した。,"[[17, 19]]"
w201106-0001213903-2,一方、新鮮組は生倉のクーデターで、ドンは三代目の座をあっさり放棄してしまう。,"[[7, 9]]"
w201106-0001216842-1,１９８７年に井上山の西斜面から偶然見つかった経塚［きょうづか］です。,"[[6, 8]]"
w201106-0001248861-3,●本ツアーはおひとり参加の旅行クラブ「ララの旅」のツアーです。,"[[19, 21]]"
w201106-0001228039-1,夏目漱石は作家として、かなりの知名度がありますよね。,"[[0, 4]]"
w201106-0001228039-2,漱石のエピソードは色々ありますが、ここで幾つかご紹介しましょう。,"[[0, 2]]"
w201106-0001246195-1,作家志望の青年スティンゴは同じアパートの住人、ポーランド人のソフィーとユダヤ人のネイサンと知り合う。,"[[7, 12], [30, 34], [40, 44]]"
w201106-0001246195-3,ソフィーが選択してしまったコトは、その後の人生に何の価値も見出せなかったんやろうな。,"[[0, 4]]"
w201106-0001275158-2,社外監査役の桑原道夫氏が、５月の株主総会および取締役会で代表取締役社長に就任する予定である。,"[[6, 10]]"
w201106-0001275158-3,新社長に就任予定の桑原氏は丸紅副社長、丸紅米国の社長を歴任するなど国際派である。,"[[9, 11]]"
w201106-0001239347-1,中日・平井正史投手が１日、名古屋市内の球団事務所で契約更改交渉に臨み、１０００万増の７０００万円でサインした。,"[[3, 7]]"
w201106-0001284985-1,製本家の内田由紀子さんのワークショップがあります。,"[[4, 9]]"
w201106-0001236107-1-01,むかしむかし、あるところに、伝次という名のおじいさんが住んでいました。,"[[14, 16]]"
w201106-0001236107-1-02,でんじ,"[[0, 3]]"
w201106-0001203816-1,柴田牧場の前にかわいい店を構えている。,"[[0, 2]]"
w201106-0001203816-3,ピカタの森アイス工房とは、同じ柴田牧場の牛乳を使用している。,"[[15, 17]]"
w201106-0001233240-2,梨木さんの作品はとても惹きつけられる。,"[[0, 2]]"
w201106-0001573022-1,現パナソニックの松下電器産業が作った人材派遣会社が松下エクセルスタッフ株式会社になります。,"[[8, 10], [25, 27]]"
w201106-0001573022-2,紹介される企業には松下グループはもちろん、優良企業もたくさん用意されています。,"[[9, 11]]"
w201106-0001529878-1,故野村兼太郎教授が収集した古文書を中心に収蔵しています。,"[[1, 6]]"
w201106-0001571391-2,これに対する財務省の見解に筆者は注目していたが、どうやら野田財務大臣は歓迎の意向である。,"[[28, 30]]"
w201106-0001582755-1,むらずみ経営ではウェブサイトをご覧いただいた方に、会員サービスをご案内させていただいております。,"[[0, 4]]"
w201106-0001574217-1,鹿追で今仏太が一番気に入っているところが、ここ花のやだ。,"[[4, 6]]"
w201106-0001574217-2,どの料理も仏太の舌に合うのだ。,"[[5, 7]]"
w201106-0001563960-2,設計は安藤忠雄で、１９９２年に開館した。,"[[3, 7]]"
w201106-0001520253-1-01,藍沢耕作は、絹江が相変わらずはっきりと教えてくれないことに苦悩していた。,"[[0, 4], [6, 8]]"
w201106-0001520253-1-02,山下智久,"[[0, 4]]"
w201106-0001520253-1-03,島かおり,"[[0, 4]]"
w201106-0001520253-2-01,一方、冴島はるかの恋人、悟史には“その時”が間近に迫る。,"[[3, 8], [12, 14]]"
w201106-0001520253-2-02,比嘉愛未,"[[0, 4]]"
w201106-0001520253-2-03,平山浩行,"[[0, 4]]"
w201106-0001520253-3,すでに悟史は個室に移され、彼の両親やたくさんの友人たちも呼ばれた。,"[[3, 5]]"
w201106-0001500427-3,日本の子供たちがドラえもんやちびまる子ちゃんが好きなように、中国の子供たちは西遊記が大好きです。,"[[16, 19]]"
w201106-0001538928-1,ヴィクトル・オルテガはエスタニシラオ・ヴィルカという男を案内役に抜擢した。,"[[0, 5], [6, 10], [11, 18], [19, 23]]"
w201106-0001538928-2,ヴィルカは国境付近のサバヤ地域一帯の地理に精通しており、共産党員でもあった。,"[[0, 4]]"
w201106-0001501629-1-01,内藤記念くすり博物館は、１月２６日にリニューアルオープンしました。,"[[0, 2]]"
w201106-0001578264-1,１９９０年に株式会社天来書院を創立しました。,"[[10, 12]]"
w201106-0001578264-3,２０００年４月から約２年間、望月町天来記念館の館長を勤めました。,"[[17, 19]]"
w201106-0001528485-1,マミとの約束の朝がやってきた。,"[[0, 2]]"
w201106-0001556993-1-01,『盲導犬クイールの一生』は、秋元良平・石黒謙吾による写真集である。,"[[14, 18], [19, 23]]"
w201106-0001546150-3-01,これらの成果は後の時代の、契沖・賀茂真淵などに引き継がれていきました。,"[[13, 15], [16, 20]]"
w201106-0001546150-3-02,けいちゅう,"[[0, 5]]"
w201106-0001546150-3-03,かものまぶち,"[[0, 6]]"
w201106-0001544587-3,地球政府は古代進を艦長とする宇宙戦艦ヤマトを調査のために派遣する。,"[[5, 8]]"
w201106-0001543956-1-02,第１部会、部会長、坂本多加雄・学習院大学教授,"[[9, 14]]"
w201106-0001589509-1,笑門開運をもっとうにする笑門占術秦流では占い師を養成いたします。,"[[16, 17]]"
w201106-0001589509-2,秦流では易学と九星学を基本として、東洋系の占いをご教授いたします。,"[[0, 1]]"
w201106-0001589509-3,笑門占術秦流では占いだけではなく教養として和歌や邦楽等の芸事が必要だと考えています。,"[[4, 5]]"
w201106-0001505870-2,ここでは実際のチームメイクの流れを、チーム代表者サトルさんと、ユーザのヒナコさんを例に説明します。,"[[24, 27], [35, 38]]"
w201106-0001542340-1,１１月１９日、今敏監督の最新劇場長編映画『夢みる機械』の公式サイトがオープンした。,"[[7, 9]]"
w201106-0001542340-2,今監督にとって『夢みる機械』は、２００６年に公開された『パプリカ』以来の劇場長編となる。,"[[0, 1]]"
w201106-0001508842-1,本業の片手間に、趣味の範囲でやっているコスプレアイテム・撮影用武器小物のオーダーメイドショップヨシトミ製作所のブログです。,"[[47, 51]]"
w201106-0001581296-1,川棚温泉は山頭火ゆかりの地、そして瓦そば発祥の地として知られています。,"[[5, 8]]"
w201106-0001507794-1,子育て世代を応援するモリシタ＠ホームの見学会情報をお知らせ致します。,"[[10, 14]]"
w201106-0001514060-1,私、十宮薫子には秘密がある。,"[[2, 6]]"
w201106-0001514060-3,そんなある日、幼馴染の相澤智典に告白されて———。,"[[11, 15]]"
w201106-0001592005-2-02,斉藤宏館長,"[[0, 3]]"
w201106-0001598851-2,総入れ歯・部分入れ歯の東京秋葉原、稲葉歯科医院はお一人づつに合った治療を行っています。,"[[17, 19]]"
w201106-0002300102-1-01,マペット放送局は、ジム・ヘンソン・プロダクション制作の番組。,"[[9, 11], [12, 16]]"
w201106-0002300328-1,発表通り、ハメルズは５月１２日にメジャー昇格を果たし、同日のレッズ戦でメジャーデビュー。,"[[5, 9]]"
w201106-0002300328-2,デビュー戦の注目は高く「１９４８年のロビン・ロバーツ以来、最も話題を呼んだ初登板」という声もあった［９］。,"[[18, 21], [22, 26]]"
w201106-0002300315-1-01,テュロスの国王の娘で幼名はエリッサといった。,"[[13, 17]]"
w201106-0002300315-1-02,Ｅｌｉｓｓａ,"[[0, 6]]"
w201106-0002300315-2,父の弟でメルカルトの神官をしていたシュカイオスと結ばれて同じく巫女として仕えていた。,"[[17, 23]]"
w201106-0002300315-3,父の死去の際、彼女と兄のピュグマリオーンが共同で国を治める様に遺言された。,"[[12, 20]]"
w201106-0002300088-2,そんなとき僕は、無性に拓郎さんの曲を歌いたくなります。,"[[11, 13]]"
w201106-0002300275-1,当時モントリオール・エクスポズの監督だったフェリペ・アルーの推薦で、１９７９年１月にドラフト外でエクスポズと契約［１］。,"[[21, 25], [26, 29]]"
w201106-0002300263-1,ドイツのライプニッツの予定調和を主張する最善説に由来する。,"[[4, 10]]"
w201106-0002300263-2,ライプニッツは、現実世界は可能なすべての世界の中で、最善のものであると考えた。,"[[0, 6]]"
w201106-0002300115-1,ラグビー時代にマージョリー・バトラーと出会い、１９３６年に結婚。,"[[7, 13], [14, 18]]"
w201106-0002300312-1,岩合さんは、たくさんのねこの写真を出されています。,"[[0, 2]]"
w201106-0002300312-3,岩合さんの撮られるねこ達は、可愛いだけでなく、たくましく、いきいきしています。,"[[0, 2]]"
w201106-0002300311-2,はやとちんは、３２７６８のダメージをうけてやられてしまった！,"[[0, 3]]"
w201106-0002300311-3,あとはげつようびと闘う、みなみこいさんに任せよう．．．．,"[[12, 17]]"
w201106-0002300338-1,カフェの常連客はパーシーの過去の秘密に疑いの目を向けていたが、ハナは黙っていた。,"[[8, 12], [31, 33]]"
w201106-0002300338-2-01,一番猜疑心が強かったのは、ハナの甥のネイハムであった。,"[[13, 15], [18, 22]]"
w201106-0002300338-2-02,ウィル・パットン,"[[0, 3], [4, 8]]"
w201106-0002300338-3-01,ネイハムの妻シェルビーは疑うよりはむしろ親切な好奇心をパーシーに対して抱いた。,"[[0, 4], [6, 11], [27, 31]]"
w201106-0002300338-3-02,マーシャ・ゲイ・ハーデン,"[[0, 4], [5, 7], [8, 12]]"
w201106-0002300363-2,世界ラリー選手権ドライバーのアリスター・マクレーと１９９５年ＷＲＣチャンピオン、コリン・マクレーの父親である。,"[[14, 19], [20, 24], [40, 43], [44, 48]]"
w201106-0002300160-1,松丸さん、お手数をおかけします。,"[[0, 2]]"
w201106-0002300160-2,松丸さんのことネットで検索させて戴きました。,"[[0, 2]]"
w201106-0002300360-1,ヴェオハルトの思った通り、そのころ地底族集落では反乱が起こっていた。,"[[0, 6]]"
w201106-0002300360-2,彼の示した道に反対の意思を示し、ヴェオハルトがいなくなった時を狙っての決起だった。,"[[16, 22]]"
w201106-0002300360-3,しかし、留守を任されていたシーラの対応は意外なものだった。,"[[13, 16]]"
w201106-0002300238-3,ロサンゼルス近郊のサンタモニカに住む建築家ジョセフ・マークさんは、自由な発想で庭を「屋根のない部屋」に変えました。,"[[21, 25], [26, 29]]"
w201106-0002300204-2,これはもちろんモーリス・マルトノのオリジナルではなく単にテルミンの複製に過ぎないので、オンド・マルトノとは見なされない。,"[[7, 11], [12, 16], [47, 51]]"
w201106-0002300206-3,渡辺竜王への質問メール、コメントをお待ちしています。,"[[0, 2]]"
w201106-0002300010-1,１９５２年、ルチャ・ムービー「ウラカン・ラミレス」に出演した事がきっかけで、翌年に同名の覆面ルチャドールとしてデビュー。,"[[15, 19], [20, 24]]"
w201106-0002300010-3,フォール技のウラカン・ラナ・インベルティダを編み出した事でも知られる。,"[[6, 10]]"
w201106-0002300165-1,アゲーノール−フェニキア王。,"[[0, 6]]"
w201106-0002300165-2-01,海神ポセイドンとリビュエの子とされる。,"[[2, 7], [8, 12]]"
w201106-0002300165-2-02,リビア,"[[0, 3]]"
w201106-0002300165-3,エウローペー、カドモス、ポイニクス、キリクスの父。,"[[0, 6], [7, 11], [12, 17], [18, 22]]"
w201106-0002300183-1,その後、周囲の勧めもあって、１９１３年、イギリスのヒル教授、ベイカー教授、ボブソン教授に研究成果を記した手紙を出す。,"[[25, 27], [30, 34], [37, 41]]"
w201106-0002300183-3,もっとも、藤原正彦によれば、こうした無理解も仕方のないことであった。,"[[5, 9]]"
w201106-0002300009-3,闘莉王選手が早々に離脱してしまったこともそうだけど、今日のレッズは少しついてなかったな・・・。,"[[0, 3]]"
w201106-0002300340-3,って思ってたけどムスコの言葉を解読出来てるのはアタシだけってことに気付いた九州親バカ選手権優勝ホノツグです。,"[[47, 51]]"
w201106-0002300142-1-01,空想天国は、１９６８年に制作された谷啓主演作品。,"[[17, 19]]"
w201106-0002300142-3,クレージーのメンバーからは、ハナ肇と桜井センリが出演している。,"[[14, 17], [18, 23]]"
w201106-0002300218-2,ミュージカル『エビータ』のシカゴ公演のオーディションに合格し、後にブロードウェイに進出して『アマデウス』や『ヘンリー五世』の舞台に出演。,"[[7, 11], [46, 51], [54, 58]]"
w201106-0002300032-2,絵に対する自信以外の全てを失った若き日のアドルフ・ヒトラーは、戦争で片手を失い今は画廊を経営しているマックス・ロスマンと出会う。,"[[20, 24], [25, 29], [50, 54], [55, 59]]"
w201106-0002300032-3,マックスはアドルフに全てを絵に注ぎ込めと助言する。,"[[0, 4], [5, 9]]"
w201106-0002300152-1,しかし、俳優陣、その中でもナタリー・ポートマンの愛らしさそして変貌は凄かったですよね〜そして、あの憎らしいばかりのハビエル・バルデム！！,"[[13, 17], [18, 23], [57, 61], [62, 66]]"
w201106-0002300152-3,ゴヤの黒い絵シリーズはすごい！,"[[0, 2]]"
w201106-0002300350-1,歌詞はすべてエルヴィス・プレスリーの曲名を繋ぎ合せて構成されている。,"[[6, 11], [12, 17]]"
w201106-0002300350-2,元々大瀧のファースト・アルバムに収録されていた『いかすぜ！この恋』をリメイクしたもの。,"[[2, 4]]"
w201106-0002300350-3,このバージョンのカバーを同じエルヴィスファンの西田敏行がカバーしている。,"[[14, 19], [23, 27]]"
w201106-0002300192-1-01,広島の福井優也投手が自身初のテレビＣＭに出演することが１日、明らかになった。,"[[3, 7]]"
w201106-0002300192-2-01,広島の新人では、黒田博樹や前田健太も果たしていない１年目オフの抜てきとなった。,"[[8, 12], [13, 17]]"
w201106-0002300192-3,現時点では早大の同期、日本ハムの斎藤佑樹よりも早い“ＣＭデビュー”となる。,"[[16, 20]]"
w201106-0002300346-1,つばきの妹でお洒落が大好き。,"[[0, 3]]"
w201106-0002300346-2,毎朝、つばきに髪をアレンジしてもらっている。,"[[3, 6]]"
w201106-0002300346-3,少々派手で、京汰に好意をもっている。,"[[6, 8]]"
w201106-0002300309-1,それ以降専業作家となり、商業誌に最初に作品が掲載されたのは１９５２年の「ウーブ身重く横たわる」である。,"[[36, 39]]"
w201106-0002300309-3,１９５０年代はディックにとって最も貧しく苦しい時期で「図書館の本の延滞料すら払えなかった」という。,"[[7, 11]]"
w201106-0002300320-2,向井さんのボーカルとか歌詞分からんがかっこいい！,"[[0, 2]]"
w201106-0002300320-3,田渕さんのギターがノイジーで大好き！,"[[0, 2]]"
w201106-0002300081-1,ストウブミニココット１０センチで、オイシックスの「達也の人参」を使いました。,"[[25, 27]]"
w201106-0002300295-3,チームは２４勝７敗で州の決勝戦に進出し、ウォレスは最終クォーターでウィニングショットを記録している。,"[[20, 24]]"
w201106-0002300336-1-01,フジテレビアナウンサーとしての後輩で、同じ広島県出身でもある山中秀樹、三宅正治、西山喜久恵共々、熱狂的な広島東洋カープのファンでもある。,"[[30, 34], [35, 39], [40, 45]]"
w201106-0002300336-2,西山とは２人そろって『プロ野球ニュース』の司会もしていた。,"[[0, 2]]"
w201106-0002300336-3-01,後番組の『すぽると！』は三宅が務めている。,"[[12, 14]]"
w201106-0002300041-3,ダブルスではメキシコのラウル・ラミレスとペアを組んで数多くのタイトルを獲得し、全仏オープンの男子ダブルスで１９７５年と１９７７年の２度、ウィンブルドンでも１９７６年の男子ダブルスを制覇した。,"[[11, 14], [15, 19]]"
w201106-0002300290-2,１６８２年、ロベール・ド・ラサールはルイジアナ領土をフランスのものと主張した。,"[[6, 10], [11, 12], [13, 17]]"
w201106-0002300092-1,父はプトレマイオス２世、母はアルシノエ１世。,"[[2, 9], [14, 19]]"
w201106-0002300092-2,妻はベレニケ２世。,"[[2, 6]]"
w201106-0002300092-3,子にはプトレマイオス４世、アルシノエ３世がいる。,"[[3, 10], [13, 18]]"
w201106-0002300124-2,ファラデーカップで検出してカウントする形式もある。,"[[0, 5]]"
w201106-0002300044-1,ブローニュ伯ウスタシュ３世の娘としてブローニュで生まれた。,"[[6, 11]]"
w201106-0002300044-2,母マリーはスコットランド王マルカム３世と王妃マーガレットの娘で、イングランド王ヘンリー１世の王妃マティルダとは姉妹であった。,"[[1, 4], [13, 17], [22, 28], [39, 43], [48, 53]]"
w201106-0002300044-3-01,つまり、マティルドはモード皇后の母方の従姉妹であった。,"[[4, 9], [10, 13]]"
w201106-0002300044-3-02,マティルダ,"[[0, 5]]"
w201106-0002300044-3-03,夫スティーヴンはモードの父方の従兄である,"[[1, 7], [8, 11]]"
w201106-0002300091-2,出し入れしやすい口枠タイプで仕様も充実シューズが入るダレスボストンバッグ。,"[[26, 29]]"
w201106-0002300132-2-02,宮崎駿監督,"[[0, 3]]"
w201106-0002400205-1,恩師アルノルト・シェーンベルクのもとでのいわば卒業制作として、１９０７年から１９０８年にかけて作曲された。,"[[2, 7], [8, 15]]"
w201106-0002400205-2,ベルクは、２楽章以降を書き足すべきかを悩んでいたが、結局シェーンベルクの助言により１楽章のみで出版することにした。,"[[0, 3], [28, 35]]"
w201106-0002400358-2,山の頂きに雪が積もり始めると、ノーマン·ウィンター夫妻、そして冬を生き抜く重要なパートナーとなる、７頭の犬たちの冬支度が始まる。,"[[15, 19], [20, 25]]"
w201106-0002400159-2,１８５３年、ペリーが浦賀に来航すると、浦賀総奉行として着任する。,"[[6, 9]]"
w201106-0002400039-1,荒木さん、コメントありがとうございます。,"[[0, 2]]"
w201106-0002400388-2,例えばジャリズムの代表的なコント「葬式ＤＪ」は、渡辺がリアリティ溢れるＤＪを違和感なく演じることで成立している。,"[[24, 26]]"
w201106-0002400216-1,その大切な指輪を兄がなくしてしまい、ルーシーは落ち込んでいた。,"[[18, 22]]"
w201106-0002400216-3,女性にはジャドという連れの男性がいた。,"[[4, 7]]"
w201106-0002400214-1,番組スタートより１９８３年までは『ハローポピーこちらミッチ放送局』という番組タイトルで、玩具メーカーのポピーがスポンサーを務めていた。,"[[26, 29]]"
w201106-0002400163-2,ヘンリー・フォードもプラスチックの原料を安く調達するために大豆農園を作っていた。,"[[0, 4], [5, 9]]"
w201106-0002400058-1,まだマイケルの死は信じられない。,"[[2, 6]]"
w201106-0002400307-1,鶴久がリードボーカル。,"[[0, 2]]"
w201106-0002400059-1,この作品は名探偵コナンのキャラクターが多数登場してとっても豪華です。,"[[8, 11]]"
w201106-0002400059-2,そして犯人の人質となった仲間を救うためにコナンと平次が大活躍します。,"[[20, 23], [24, 26]]"
w201106-0002400059-3,タイムリミットまでにコナンは事件を解決できるのか！？,"[[10, 13]]"
w201106-0002400305-1,しかしこれらの案を退け、ボリス・イオファンらロシア人２人とアメリカ人１人による計３案が同時に勝者に選ばれた。,"[[12, 15], [16, 21]]"
w201106-0002400305-2,レーニン時代には公認されていたロシア・アヴァンギャルドに背を向け、新古典主義に基盤を置いた案だった。,"[[0, 4]]"
w201106-0002400305-3,これにはレーニンと嗜好が違ったヨシフ・スターリンらの意向があった。,"[[4, 8], [15, 18], [19, 24]]"
w201106-0002400304-3,で、１／３５とか１／２０のガトリング用ガンベルトって無いんだよね。,"[[13, 18]]"
w201106-0002400075-2,アンセルモは、姉妹を連れてパリの万博へ向かった。,"[[0, 5]]"
w201106-0002400075-3,アンセルモが万博へ向かうのには理由があった。,"[[0, 5]]"
w201106-0002400118-1,俺、相川歩は『愛』ってのがわからない。,"[[2, 5]]"
w201106-0002400118-3,言い寄ってくるサラス、誤解に誤解を重ねる友紀。,"[[7, 10], [20, 22]]"
w201106-0002400127-2,イタリアのビエッラにおいて、フィラ兄弟によって創業された。,"[[14, 17]]"
w201106-0002400047-1,続いて赤ちゃんの自宅を訪れたあかつと鈴木奈々は、叔母に当時のエピソードについて話を聞いた。,"[[14, 17], [18, 22]]"
w201106-0002400047-2,当時はやっていた朝潮にそっくりだったと話した。,"[[8, 10]]"
w201106-0002400057-1,夏休み、ハリー・ポッターは唯一の身寄りであるダーズリー家へ帰省していた。,"[[4, 7], [8, 12], [22, 27]]"
w201106-0002400057-2,初めての友人も出来て、夢のようだったホグワーツ魔法魔術学校での生活を中断されていたハリーのもとに、ドビーと名乗る屋敷しもべ妖精が現れる。,"[[41, 44], [49, 52]]"
w201106-0002400057-3,そしてドビーはハリーにホグワーツに戻ってはならないと警告する。,"[[3, 6], [7, 10]]"
w201106-0002400094-2,それは「坂の上の雲」が司馬遼太郎にとって嫌いな昭和の戦前戦中へ至る道筋の始まりと認める事ができるからだ、という様な文を読んだことがあった。,"[[11, 16]]"
w201106-0002400241-2,ジム・モリソン亡き後のドアーズだと！？,"[[0, 2], [3, 7]]"
w201106-0002400257-2,次のドラフトで巨人に行ける保証はないと考えた尭はこれを受け入れ、同年１０月７日に大洋と契約。,"[[22, 23]]"
w201106-0002400026-1,ある日、いつものように見舞いに行くと、慶光にはずっと悔やみ続けていることがあると言う。,"[[19, 21]]"
w201106-0002400026-3,そこに写っていたのは、自分にそっくりな若き日の慶光と、眼鏡をかけた青年。,"[[23, 25]]"
w201106-0002400384-1,けれど私にとっては全く新しい長野まゆみの世界です。,"[[14, 19]]"
w201106-0002400384-3,この世とこの世ならざる世界との間に起こる様々な出来事を橘川と仲村、そして市村の３人が解決してゆく。,"[[27, 29], [30, 32], [36, 38]]"
w201106-0002400179-2,また、ジョプリンやファリャ、プーランクもレパートリーに持っている。,"[[3, 8], [9, 13], [14, 19]]"
w201106-0002400030-1,交響曲第２番はアルベール・ルーセルが作曲した交響曲である。,"[[7, 12], [13, 17]]"
w201106-0002400395-2,どちらもカラーリングはランバ・ラルのパーソナルカラーに準じており、旧型ザクのデザインもランバ・ラル仕様の設定に忠実になっている。,"[[11, 14], [15, 17], [43, 46], [47, 49]]"
w201106-0002400196-1,ジョージ・ワシントン将軍は約１０，６００名の大陸軍をエルク河口とフィラデルフィアの間に置いていた。,"[[0, 4], [5, 10]]"
w201106-0002400196-3,上陸に手間取ったハウ軍はキャンプも張らずに進軍を始めた。,"[[8, 10]]"
w201106-0002400169-2,大統領にはヘスス・デ・カルデナスが就任した。,"[[5, 8], [9, 10], [11, 16]]"
w201106-0002400380-2,これは、陽毬が望んでいた死そのものではないかとも考える。,"[[4, 6]]"
w201106-0002400380-3,陽毬が望んだというのはまた後で。,"[[0, 2]]"
w201106-0002400035-1,ルシオンはピナコテイクの塔で師匠のコッキンドールとその弟子たちとともに住んでいた。,"[[0, 4], [17, 24]]"
w201106-0002400035-2,コッキンドールが外出中のある時、夜になると獣人になってしまう呪いを抱えた若者が塔に訪れる。,"[[0, 7]]"
w201106-0002400035-3,退屈していたルシオンは彼とともに旅に出かけることにする。,"[[6, 10]]"
w201106-0002400037-1,小沢氏はたぶん、そうした資金を受領していたのでしょう。,"[[0, 2]]"
w201106-0002400037-3,真の問題点は小沢氏や秘書が金を受領していたかどうかではないのです。,"[[6, 8]]"
w201106-0002400209-1,アメリカの有名シェフ、ウルフギャングパックが発案した電動ミルです。,"[[11, 21]]"
w201106-0002400369-2,アルビア書記は、パドヴァ大学で法を学び、イタリア本国では裁判官としての経歴も持っています。,"[[0, 4]]"
w201106-0002400382-2,スティーヴ・ブルースと最終ラインでコンビを組みマンチェスター・ユナイテッドで一時代を築いた。,"[[0, 5], [6, 10]]"
w201106-0002400396-1,兄ゲーザ２世の死後に甥イシュトヴァーン３世が即位したにもかかわらず、ハンガリー貴族の大多数が男系年長者相続制を支持したことから即位した。,"[[1, 4], [11, 19]]"
w201106-0002400396-2,しかし、カトリック教会はラースローの正当性を認めなかった。,"[[12, 17]]"
w201106-0002400180-1,あずにゃんの寂しさがバレンタインの甘さと雪景色の美しさにのせて伝わってくる・・・。,"[[0, 5], [10, 16]]"
w201106-0002400180-2,今まで唯達はもうすぐ卒業するんだなって漠然としてたのが一気に現実味を帯びてきちゃったなぁ。,"[[3, 4]]"
w201106-0002400397-2,叔父ヴァシーリー・ミハイロヴィチの死後、トヴェリ大公位を継ぐ。,"[[2, 8], [9, 16]]"
w201106-0002400397-3,息子には二人のアレクサンドル、イヴァン、ヴァシーリー、ボリス、フョードルがいる。,"[[7, 14], [15, 19], [20, 26], [27, 30], [31, 36]]"
w201106-0002400368-3,橋下と手を取り合えないのは残念だが、選挙のために妥協しない頑なさも、今の政治家にはあまり見られない、貴重な筋の通し方として、大変、好感が持てる。,"[[0, 2]]"
w201106-0001470460-1,何か国家的な大きなものが働いてて、誰もオズワルドとは思っちゃいない。,"[[19, 24]]"
w201106-0001470460-2,オズワルドは犯人に仕立て上げられたのだ。,"[[0, 5]]"
w201106-0001444065-3,これからも梓出版社をよろしくお願い申し上げます。,"[[5, 6]]"
w201106-0001416536-3,三村会計事務所では中小・中堅企業のシンクタンクとして事前確定届出給与コンテンツの一部を公開します。,"[[0, 2]]"
w201106-0001479619-2,相場君にはがっかりだよ！と言う感想を伝えたくて。,"[[0, 2]]"
w201106-0001479619-3,東京から、廃校寸前の田舎の中学校に転校してきた春花はいじめにあい、両親を焼き殺される。,"[[23, 25]]"
w201106-0001451396-1,宮里藍、横峰さくら、上田桃子らの活躍もあり、女性のゴルフ人気はすっかり定着しました。,"[[0, 3], [4, 9], [10, 14]]"
w201106-0001430973-2,森下和洋家具は大阪の立花通りとあみだ池筋との角にあります。,"[[0, 2]]"
w201106-0001435002-2,神宮寺剣との暮らしは、意外にも悪いものではなかった。,"[[0, 4]]"
